No.     Time           Source                Destination           Protocol Length Info
      1 0.000000       192.168.1.135         142.251.140.234       UDP      71     60894 → 443 Len=29
      2 0.010427       3.173.21.63           192.168.1.135         TLSv1.2  93     Application Data
      3 0.011295       3.173.21.63           192.168.1.135         TCP      60     443 → 5376 [FIN, ACK] Seq=40 Ack=1 Win=143 Len=0
      4 0.011651       192.168.1.135         3.173.21.63           TCP      54     5376 → 443 [ACK] Seq=1 Ack=40 Win=255 Len=0
      5 0.013004       192.168.1.135         3.173.21.63           TCP      54     5376 → 443 [ACK] Seq=1 Ack=41 Win=255 Len=0
      6 0.015615       192.168.1.135         3.173.21.63           TLSv1.2  78     Application Data
      7 0.015780       192.168.1.135         3.173.21.63           TCP      54     5376 → 443 [FIN, ACK] Seq=25 Ack=41 Win=255 Len=0
      8 0.016017       192.168.1.135         3.173.21.63           TCP      54     5376 → 443 [RST, ACK] Seq=26 Ack=41 Win=0 Len=0
      9 0.019015       142.251.140.234       192.168.1.135         UDP      67     443 → 60894 Len=25
     10 0.031310       3.173.21.63           192.168.1.135         TCP      60     443 → 5376 [ACK] Seq=41 Ack=25 Win=143 Len=0
     11 0.031310       3.173.21.63           192.168.1.135         TCP      60     443 → 5376 [ACK] Seq=41 Ack=26 Win=143 Len=0
     12 0.031440       192.168.1.135         3.173.21.63           TCP      54     5376 → 443 [RST] Seq=25 Win=0 Len=0
     13 0.031506       192.168.1.135         3.173.21.63           TCP      54     5376 → 443 [RST] Seq=26 Win=0 Len=0
     14 0.108975       192.168.1.135         98.85.113.49          TCP      55     50364 → 443 [ACK] Seq=1 Ack=1 Win=253 Len=1 [TCP segment of a reassembled PDU]
     15 0.211692       98.85.113.49          192.168.1.135         TCP      66     443 → 50364 [ACK] Seq=1 Ack=2 Win=187 Len=0 SLE=1 SRE=2
     16 0.283100       192.168.1.135         192.168.1.128         TCP      164    22275 → 8009 [PSH, ACK] Seq=1 Ack=1 Win=251 Len=110 [TCP segment of a reassembled PDU]
     17 0.285458       192.168.1.128         192.168.1.135         TCP      164    8009 → 22275 [PSH, ACK] Seq=1 Ack=111 Win=1881 Len=110 [TCP segment of a reassembled PDU]
     18 0.330164       192.168.1.135         192.168.1.128         TCP      54     22275 → 8009 [ACK] Seq=111 Ack=111 Win=251 Len=0
     19 0.551922       fe80::1138:e6ee:2535:242d fe80::1               DNS      96     Standard query 0x211e A image.lemonpi.io
     20 0.553333       fe80::1               fe80::1138:e6ee:2535:242d DNS      112    Standard query response 0x211e A image.lemonpi.io A 34.110.129.219
     21 0.768554       192.168.1.135         104.18.19.125         TCP      66     22890 → 443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
     22 0.784890       104.18.19.125         192.168.1.135         TCP      66     443 → 22890 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192
     23 0.785194       192.168.1.135         104.18.19.125         TCP      54     22890 → 443 [ACK] Seq=1 Ack=1 Win=65280 Len=0
     24 0.789408       192.168.1.135         104.18.19.125         TLSv1.3  571    Client Hello (SNI=api3.cursor.sh)
     25 0.805682       104.18.19.125         192.168.1.135         TCP      60     443 → 22890 [ACK] Seq=1 Ack=518 Win=131072 Len=0
     26 0.807388       104.18.19.125         192.168.1.135         TLSv1.3  1506   Server Hello, Change Cipher Spec
     27 0.807388       104.18.19.125         192.168.1.135         TLSv1.3  1402   Application Data
     28 0.816880       192.168.1.135         104.18.19.125         TCP      54     22890 → 443 [FIN, ACK] Seq=518 Ack=2801 Win=65280 Len=0
     29 0.833849       104.18.19.125         192.168.1.135         TCP      60     443 → 22890 [FIN, ACK] Seq=2801 Ack=519 Win=131072 Len=0
     30 0.834750       192.168.1.135         104.18.19.125         TCP      54     22890 → 443 [ACK] Seq=519 Ack=2802 Win=65280 Len=0
     31 1.068045       44.207.32.147         192.168.1.135         TLSv1.2  93     Application Data
     32 1.068045       44.207.32.147         192.168.1.135         TLSv1.2  78     Application Data
     33 1.069018       44.207.32.147         192.168.1.135         TCP      60     443 → 63865 [FIN, ACK] Seq=64 Ack=1 Win=268 Len=0
     34 1.069398       192.168.1.135         44.207.32.147         TCP      54     63865 → 443 [ACK] Seq=1 Ack=64 Win=253 Len=0
     35 1.070448       192.168.1.135         44.207.32.147         TCP      54     63865 → 443 [ACK] Seq=1 Ack=65 Win=253 Len=0
     36 1.072092       192.168.1.135         44.207.32.147         TLSv1.2  78     Application Data
     37 1.072334       192.168.1.135         44.207.32.147         TCP      54     63865 → 443 [RST, ACK] Seq=25 Ack=65 Win=0 Len=0
     38 1.172205       44.207.32.147         192.168.1.135         TCP      60     443 → 63865 [RST] Seq=65 Win=0 Len=0
     39 1.799166       192.168.1.149         192.168.1.255         UDP      82     57621 → 57621 Len=40
     40 3.539938       fe80::1               ff02::1               ICMPv6   102    Router Advertisement from f4:fc:49:1d:66:e0
     41 3.728449       192.168.1.135         104.18.19.125         TCP      66     22891 → 443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
     42 3.744598       104.18.19.125         192.168.1.135         TCP      66     443 → 22891 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192
     43 3.744693       192.168.1.135         104.18.19.125         TCP      54     22891 → 443 [ACK] Seq=1 Ack=1 Win=65280 Len=0
     44 3.747643       192.168.1.135         104.18.19.125         TLSv1.3  571    Client Hello (SNI=api3.cursor.sh)
     45 3.764430       104.18.19.125         192.168.1.135         TCP      60     443 → 22891 [ACK] Seq=1 Ack=518 Win=131072 Len=0
     46 3.768543       104.18.19.125         192.168.1.135         TLSv1.3  1506   Server Hello, Change Cipher Spec
     47 3.768696       104.18.19.125         192.168.1.135         TLSv1.3  1402   Application Data
     48 3.768721       192.168.1.135         104.18.19.125         TCP      54     22891 → 443 [ACK] Seq=518 Ack=2801 Win=65280 Len=0
     49 3.772056       192.168.1.135         104.18.19.125         TCP      54     22891 → 443 [FIN, ACK] Seq=518 Ack=2801 Win=65280 Len=0
     50 3.789836       104.18.19.125         192.168.1.135         TCP      60     443 → 22891 [FIN, ACK] Seq=2801 Ack=519 Win=131072 Len=0
     51 3.790041       192.168.1.135         104.18.19.125         TCP      54     22891 → 443 [ACK] Seq=519 Ack=2802 Win=65280 Len=0
     52 3.901767       192.168.1.135         192.168.1.142         TCP      164    32431 → 8009 [PSH, ACK] Seq=1 Ack=1 Win=252 Len=110 [TCP segment of a reassembled PDU]
     53 3.964778       192.168.1.135         172.64.155.209        TCP      55     50297 → 443 [ACK] Seq=1 Ack=1 Win=251 Len=1 [TCP segment of a reassembled PDU]
     54 3.983676       172.64.155.209        192.168.1.135         TCP      66     443 → 50297 [ACK] Seq=1 Ack=2 Win=16 Len=0 SLE=1 SRE=2
     55 4.006640       192.168.1.142         192.168.1.135         TCP      164    8009 → 32431 [PSH, ACK] Seq=1 Ack=111 Win=1161 Len=110 [TCP segment of a reassembled PDU]
     56 4.060542       192.168.1.135         192.168.1.142         TCP      54     32431 → 8009 [ACK] Seq=111 Ack=111 Win=251 Len=0
     57 4.508066       192.168.1.135         31.13.83.51           TLSv1.2  122    Application Data
     58 4.524083       31.13.83.51           192.168.1.135         TCP      60     443 → 16621 [ACK] Seq=1 Ack=69 Win=294 Len=0
